001  00001 |Loss: 2.516 | Acc: 10.938% 
001  00002 |Loss: 2.527 | Acc: 9.375% 
001  00003 |Loss: 2.493 | Acc: 9.896% 
001  00004 |Loss: 2.478 | Acc: 10.352% 
001  00005 |Loss: 2.471 | Acc: 9.375% 
001  00006 |Loss: 2.456 | Acc: 9.505% 
001  00007 |Loss: 2.432 | Acc: 10.045% 
001  00008 |Loss: 2.411 | Acc: 11.035% 
001  00009 |Loss: 2.398 | Acc: 10.938% 
001  00010 |Loss: 2.385 | Acc: 11.797% 
001  00011 |Loss: 2.370 | Acc: 12.500% 
001  00012 |Loss: 2.366 | Acc: 12.305% 
001  00013 |Loss: 2.360 | Acc: 12.200% 
001  00014 |Loss: 2.353 | Acc: 12.333% 
001  00015 |Loss: 2.343 | Acc: 12.500% 
001  00016 |Loss: 2.336 | Acc: 12.744% 
001  00017 |Loss: 2.329 | Acc: 13.097% 
001  00018 |Loss: 2.326 | Acc: 13.194% 
001  00019 |Loss: 2.323 | Acc: 13.117% 
001  00020 |Loss: 2.318 | Acc: 13.320% 
001  00021 |Loss: 2.311 | Acc: 13.504% 
001  00022 |Loss: 2.307 | Acc: 13.707% 
001  00023 |Loss: 2.301 | Acc: 13.791% 
001  00024 |Loss: 2.296 | Acc: 14.160% 
001  00025 |Loss: 2.288 | Acc: 14.656% 
001  00026 |Loss: 2.285 | Acc: 14.934% 
001  00027 |Loss: 2.278 | Acc: 15.278% 
001  00028 |Loss: 2.272 | Acc: 15.318% 
001  00029 |Loss: 2.268 | Acc: 15.598% 
001  00030 |Loss: 2.261 | Acc: 15.885% 
001  00031 |Loss: 2.254 | Acc: 16.179% 
001  00032 |Loss: 2.250 | Acc: 16.235% 
001  00033 |Loss: 2.245 | Acc: 16.477% 
001  00034 |Loss: 2.239 | Acc: 16.751% 
001  00035 |Loss: 2.231 | Acc: 17.076% 
001  00036 |Loss: 2.227 | Acc: 17.361% 
001  00037 |Loss: 2.221 | Acc: 17.715% 
001  00038 |Loss: 2.214 | Acc: 17.948% 
001  00039 |Loss: 2.207 | Acc: 18.269% 
001  00040 |Loss: 2.203 | Acc: 18.477% 
001  00041 |Loss: 2.200 | Acc: 18.674% 
001  00042 |Loss: 2.194 | Acc: 18.806% 
001  00043 |Loss: 2.187 | Acc: 19.095% 
001  00044 |Loss: 2.180 | Acc: 19.300% 
001  00045 |Loss: 2.175 | Acc: 19.566% 
001  00046 |Loss: 2.170 | Acc: 19.871% 
001  00047 |Loss: 2.163 | Acc: 20.196% 
001  00048 |Loss: 2.157 | Acc: 20.345% 
001  00049 |Loss: 2.152 | Acc: 20.504% 
001  00050 |Loss: 2.148 | Acc: 20.594% 
001  00051 |Loss: 2.145 | Acc: 20.772% 
001  00052 |Loss: 2.141 | Acc: 20.868% 
001  00053 |Loss: 2.139 | Acc: 21.020% 
001  00054 |Loss: 2.132 | Acc: 21.354% 
001  00055 |Loss: 2.130 | Acc: 21.449% 
001  00056 |Loss: 2.126 | Acc: 21.624% 
001  00057 |Loss: 2.122 | Acc: 21.806% 
001  00058 |Loss: 2.117 | Acc: 21.956% 
001  00059 |Loss: 2.114 | Acc: 22.087% 
001  00060 |Loss: 2.111 | Acc: 22.253% 
001  00061 |Loss: 2.107 | Acc: 22.387% 
001  00062 |Loss: 2.103 | Acc: 22.455% 
001  00063 |Loss: 2.099 | Acc: 22.532% 
001  00064 |Loss: 2.096 | Acc: 22.668% 
001  00065 |Loss: 2.091 | Acc: 22.897% 
001  00066 |Loss: 2.086 | Acc: 23.130% 
001  00067 |Loss: 2.083 | Acc: 23.286% 
001  00068 |Loss: 2.080 | Acc: 23.380% 
001  00069 |Loss: 2.076 | Acc: 23.551% 
001  00070 |Loss: 2.073 | Acc: 23.672% 
001  00071 |Loss: 2.070 | Acc: 23.812% 
001  00072 |Loss: 2.067 | Acc: 23.828% 
001  00073 |Loss: 2.064 | Acc: 23.994% 
001  00074 |Loss: 2.060 | Acc: 24.134% 
001  00075 |Loss: 2.057 | Acc: 24.250% 
001  00076 |Loss: 2.054 | Acc: 24.301% 
001  00077 |Loss: 2.050 | Acc: 24.391% 
001  00078 |Loss: 2.047 | Acc: 24.619% 
001  00079 |Loss: 2.043 | Acc: 24.733% 
001  00080 |Loss: 2.040 | Acc: 24.834% 
001  00081 |Loss: 2.037 | Acc: 24.913% 
001  00082 |Loss: 2.033 | Acc: 25.067% 
001  00083 |Loss: 2.030 | Acc: 25.188% 
001  00084 |Loss: 2.027 | Acc: 25.260% 
001  00085 |Loss: 2.024 | Acc: 25.377% 
001  00086 |Loss: 2.022 | Acc: 25.463% 
001  00087 |Loss: 2.017 | Acc: 25.593% 
001  00088 |Loss: 2.015 | Acc: 25.657% 
001  00089 |Loss: 2.012 | Acc: 25.799% 
001  00090 |Loss: 2.008 | Acc: 25.964% 
